Duration,Duration in Minutes,gross,Genre,movie_title,Description,plot_keywords,language,budget,title_year,imdb_score,aspect_ratio,Flag
2.97,178,760505847,Adventure,Avatar ,"The movie name is Avatar. Its an aventurours movie. It is made of 237000000 dollars budget. The main words that can descibe the movie are Avatar, Future, Marine, Native, Paraplegic. It's in English language. It's released year is 2009. It's duration is 2.97 hours. It has IMDb rating of 7.9. It has aspect_ratio of 1.78.","avatar ,future ,marine ,native ,paraplegic",English,237000000,2009,7.9,1.78,Y
2.82,169,309404152,Adventure,Pirates of the Caribbean: At World's End ,"The movie name is Pirates of the Caribbean: At World's End. Its an aventurours movie. It is made of 300000000 dollars budget. The main words that can descibe the movie are goddess. marriage ceremony, marriage proposal, pirate, singapore. It's in English language. It's released year is 2007. It's duration is 2.82 hours. It has IMDb rating of 7.1. It has aspect_ratio of 2.35.","goddess ,marriage ceremony ,marriage proposal ,pirate ,singapore",English,300000000,2007,7.1,2.35,Y
2.47,148,200074175,Adventure,Spectre ,"The movie name is Spectre . Its an aventurours movie. It is made of 245000000 dollars budget. The main words that can descibe the movie are bomb, espionage, sequel, spy, terrorist. It's in English language. It's released year is 2015. It's duration is 2.47 hours. It's IMDb rating is 6.8. It has aspect_ratio of 2.35.","bomb ,espionage ,sequel ,spy ,terrorist",English,245000000,2015,6.8,2.35,Y
2.73,164,448130642,Thriller,The Dark Knight Rises ,"The movie name is The Dark Knight Rises  . Its an aventurours movie. It is made of 250000000 dollars budget. The main words that can descibe the movie are deception, imprisonment, lawlessness, police officer, terrorist plot. It's in English language. It's released year is 2012. It's duration is 2.47 hours. It's IMDb rating is 8.5.  It has aspect_ratio of 2.35.","deception ,imprisonment ,lawlessness ,police officer ,terrorist plot",English,250000000,2012,8.5,2.35,Y
2.2,132,73058679,Sci-Fi,John Carter ,"The movie name is John Carter. The genre of the movie is Sci-Fi. It is made of 263700000 dollars budget. The main words that can descibe the movie are alien, american civil war, male nipple, mars, princess. It's in English language. It's released year is 2012. It's duration is 2.2 hours. It's IMDb rating is 6.6.  It has aspect_ratio of 2.35.","alien ,american civil war ,male nipple ,mars ,princess",English,263700000,2012,6.6,2.35,Y
2.6,156,336530303,Romance,Spider-Man 3 ,"The movie name is Spider-Man 3. The genre of the movie is Romance. It is made of 258000000 dollars budget. The main words that can descibe the movie are sandman ,spider man ,symbiote ,venom ,villain. It's in English language. It's released year is 2007. It's duration is 2.6 hours. It's IMDb rating is 6.2.  It has aspect_ratio of 2.35.","sandman ,spider man ,symbiote ,venom ,villain",English,258000000,2007,6.2,2.35,Y
1.67,100,200807262,Animation,Tangled ,"The movie name is Tangled. The genre of the movie is Animation It is made of 260000000 dollars budget. The main words that can descibe the movie are 17th century ,based on fairy tale ,disney ,flower ,tower. It's in English language. It's released year is 2010. It's duration is 1.67 hours. It's IMDb rating is 7.8.  It has aspect_ratio of 1.85.","17th century ,based on fairy tale ,disney ,flower ,tower",English,260000000,2010,7.8,1.85,Y
2.35,141,458991599,Adventure,Avengers: Age of Ultron ,"The movie name is Avengers: Age of Ultron. The genre of the movie is Adventure It is made of 250000000 dollars budget. The main words that can descibe the movie are artificial intelligence ,based on comic book ,captain america ,marvel cinematic universe ,superhero. It's in English language. It's released year is 2015. It's duration is 2.35 hours. It's IMDb rating is 7.5.  It has aspect_ratio of 2.35.","artificial intelligence ,based on comic book ,captain america ,marvel cinematic universe ,superhero",English,250000000,2015,7.5,2.35,Y
2.55,153,301956980,Fantacy,Harry Potter and the Half-Blood Prince ,"The movie name is Harry Potter and the Half-Blood Prince. The genre of the movie is Fantacy. It is made of 250000000 dollars budget. The main words that can descibe the movie are blood ,book ,love ,potion ,professor. It's in English language. It's released year is 2009. It's duration is 2.55 hours. It's IMDb rating is 7.5.  It has aspect_ratio of 2.35.","blood ,book ,love ,potion ,professor",English,250000000,2009,7.5,2.35,Y
3.05,183,330249062,Sci-Fi,Batman v Superman: Dawn of Justice ,"The movie name is Batman v Superman: Dawn of Justice. The genre of the movie is Sci-Fi. It is made of 250000000 dollars budget. The main words that can descibe the movie are based on comic book ,batman ,sequel to a reboot ,superhero ,superman. It's in English language. It's released year is 2016. It's duration is 3.05 hours. It's IMDb rating is 6.9.  It has aspect_ratio of 2.35.","based on comic book ,batman ,sequel to a reboot ,superhero ,superman",English,250000000,2016,6.9,2.35,Y
2.82,169,200069408,Sci-Fi,Superman Returns ,"The movie name is Superman Returns. The genre of the movie is Sci-Fi. It is made of 209000000 dollars budget. The main words that can descibe the movie are based on crystal ,epic ,lex luthor ,lois lane ,return to earth. It's in English language. It's released year is 2006. It's duration is 2.82 hours. It's IMDb rating is 6.1.  It has aspect_ratio of 2.35.","crystal ,epic ,lex luthor ,lois lane ,return to earth",English,209000000,2006,6.1,2.35,Y
1.77,106,168368427,Action,Quantum of Solace ,"The movie name is Quantum of Solace. The genre of the movie is Action. It is made of 200000000 dollars budget. The main words that can descibe the movie are based on action hero ,attempted rape ,bond girl ,official james bond series ,revenge. It's in English language. It's released year is 2008. It's duration is 1.77 hours. It's IMDb rating is 6.7.  It has aspect_ratio of 2.35.","action hero ,attempted rape ,bond girl ,official james bond series ,revenge",English,200000000,2008,6.7,2.35,Y
2.52,151,423032628,Action,Pirates of the Caribbean: Dead Man's Chest ,"The movie name is Pirates of the Caribbean: Dead Man's Chest. The genre of the movie is Action. It is made of 225000000 dollars budget. The main words that can descibe the movie are based on box office hit ,giant squid ,heart ,liar's dice ,monster. It's in English language. It's released year is 2006. It's duration is 2.52 hours. It's IMDb rating is 7.3.  It has aspect_ratio of 2.35.","box office hit ,giant squid ,heart ,liar's dice ,monster",English,225000000,2006,7.3,2.35,Y
2.5,150,89289910,Action,The Lone Ranger ,"The movie name is The Lone Ranger. The genre of the movie is Action. It is made of 215000000 dollars budget. The main words that can descibe the movie are horse ,outlaw ,texas ,texas ranger ,train. It's in English language. It's released year is 2013. It's duration is 2.5 hours. It's IMDb rating is 6.5.  It has aspect_ratio of 2.35.","horse ,outlaw ,texas ,texas ranger ,train",English,215000000,2013,6.5,2.35,Y
